country_code,channel,age,aadhar_gender,occupation,pincode,annual_income,marital_status,networth,source_of_funds,txn_amount_tot,user_count
AE,ATM,18,M,Salaried,673573,49999,Unmarried,1500000,Business Proceeds,299696.62,1
AE,ATM,18,M,Self Employed Professional,673572,499999,Married,500000,Business Proceeds,293280.51,1
AE,ATM,19,F,Housewife,334001,49999,Married,500000,Saving,99420.86,1
AE,ATM,19,F,Self Employed Non-Professional,834004,499999,Married,1500000,Saving,636020.56,1
AE,ATM,19,F,Self Employed Non-Professional,835102,499999,Unmarried,1500000,Business Proceeds,492688.94,1
AE,ATM,19,F,Self Employed Professional,834005,499999,Unmarried,1500000,Business Proceeds,636020.559999999,1
AE,ATM,19,M,Forex,834005,499999,Unmarried,500000,Business Proceeds,556305.28,1
AE,ATM,19,M,Self Employed Non-Professional,125111,49999,Married,20000000,Business Proceeds,2258.7,1
AE,ATM,19,M,Self Employed Non-Professional,673017,149999,Unmarried,500000,Business Proceeds,390853.25,1
AE,ATM,19,M,Self Employed Professional,673003,299999,Unmarried,10000000,Investments,1390852.73,2
AE,ATM,19,M,Self Employed Professional,673524,999999,Unmarried,5000000,Business Proceeds,288330.34,1
AE,ATM,19,M,Self Employed Professional,673541,999999,Unmarried,1500000,Business Proceeds,195621.45,1
AE,ATM,19,M,Self Employed Professional,673585,999999,Unmarried,10000000,Business Proceeds,715941.46,1
AE,ATM,19,M,Self Employed Professional,673601,499999,Unmarried,3000000,Other,597321.35,1
AE,ATM,19,M,Student,244001,299999,Unmarried,5000000,Investments,72724.39,1
AE,ATM,19,M,Student,400703,49999,Unmarried,500000,Other,96250.9599999999,1
AE,ATM,19,M,Student,401504,49999,Unmarried,500000,Other,2262.4,1
AE,ATM,19,M,Student,411019,4999999,Unmarried,20000000,Business Proceeds,160184.47,1
AE,ATM,19,M,Student,834004,49999,Unmarried,500000,Other,553536.12,1
AE,ATM,19,M,Used Car Sales,673573,999999,Married,3000000,Saving,293011.38,1
AE,ATM,20,F,Housewife,561213,299999,Married,500000,Saving,395372.04,1
AE,ATM,20,F,Self Employed Non-Professional,834001,499999,Unmarried,500000,Other,632453.33,1
AE,ATM,20,F,Self Employed Professional,380004,999999,Married,1500000,Salary,122145.609999999,1
AE,ATM,20,F,Self Employed Professional,834001,499999,Married,500000,Business Proceeds,492870.83,1
AE,ATM,20,F,Self Employed Professional,834005,499999,Married,1500000,Business Proceeds,636020.56,1
AE,ATM,20,F,Self Employed Professional,835222,499999,Unmarried,1500000,Business Proceeds,632630.03,1
AE,ATM,20,M,Agriculturist,126102,999999,Unmarried,250000000,Other,784961.65,1
AE,ATM,20,M,Financial Services /Invesment Serv/ Mutual Fund,673581,4999999,Unmarried,5000000,Other,199043.21,1
AE,ATM,20,M,Forex,673507,999999,Married,3000000,Other,299922.51,1
AE,ATM,20,M,Forex,834001,499999,Unmarried,5000000,Business Proceeds,635838.679999999,1
AE,ATM,20,M,Salaried,395010,49999,Unmarried,500000,Other,79729.09,1
AE,ATM,20,M,Salaried,500002,499999,Unmarried,1500000,Salary,90348.11,1
AE,ATM,20,M,Salaried,673014,499999,Unmarried,500000,Salary,953325.029999999,1
AE,ATM,20,M,Salaried,673585,499999,Unmarried,5000000,Salary,195621.45,1
AE,ATM,20,M,Salaried,673645,299999,Married,500000,Saving,299430.12,1
AE,ATM,20,M,Salaried,676309,299999,Unmarried,500000,Sale Of Property,299975.27,1
AE,ATM,20,M,Salaried,679305,299999,Unmarried,3000000,Salary,892699.96,1
AE,ATM,20,M,Self Employed Non-Professional,671123,499999,Unmarried,500000,Business Proceeds,892981.14,1
AE,ATM,20,M,Self Employed Non-Professional,673004,299999,Unmarried,1500000,Sale Of Property,298317.07,1
AE,ATM,20,M,Self Employed Non-Professional,673019,999999,Unmarried,5000000,Business Proceeds,299874.709999999,1
AE,ATM,20,M,Self Employed Non-Professional,673508,999999,Unmarried,1500000,Investments,297746.01,1
AE,ATM,20,M,Self Employed Non-Professional,673586,299999,Unmarried,1500000,Business Proceeds,390941.12,1
AE,ATM,20,M,Self Employed Non-Professional,673642,499999,Unmarried,5000000,Saving,99567.92,1
AE,ATM,20,M,Self Employed Non-Professional,680515,999999,Unmarried,5000000,Other,597589.91,1
AE,ATM,20,M,Self Employed Non-Professional,834002,499999,Married,1500000,Other,633232.19,1
AE,ATM,20,M,Self Employed Professional,110043,4999999,Married,40000000,Business Proceeds,531989.95,1
AE,ATM,20,M,Self Employed Professional,110059,299999,Unmarried,1500000,Business Proceeds,93714.84,1
AE,ATM,20,M,Self Employed Professional,126114,299999,Married,5000000,Business Proceeds,2241475.63999999,2
AE,ATM,20,M,Self Employed Professional,127046,4999999,Unmarried,5000000,Other,399872.02,1
AE,ATM,20,M,Self Employed Professional,360050,4999999,Married,100000000,Business Proceeds,878353.47,1
AE,ATM,20,M,Self Employed Professional,380028,499999,Married,1500000,Business Proceeds,558741.41,1
AE,ATM,20,M,Self Employed Professional,394101,999999,Unmarried,3000000,Other,573975.14,1
AE,ATM,20,M,Self Employed Professional,673001,4999999,Unmarried,1500000,Other,397694.24,1
AE,ATM,20,M,Self Employed Professional,673571,4999999,Unmarried,80000000,Business Proceeds,297628.15,1
AE,ATM,20,M,Self Employed Professional,673571,4999999,Unmarried,100000000,Business Proceeds,297746.01,1
AE,ATM,20,M,Self Employed Professional,673580,4999999,Unmarried,1500000,Saving,793055.57,1
AE,ATM,20,M,Self Employed Professional,673586,499999,Unmarried,1500000,Other,34135.7,1
AE,ATM,20,M,Self Employed Professional,673601,999999,Unmarried,500000,Other,295466.07,1
AE,ATM,20,M,Self Employed Professional,673611,999999,Married,3000000,Investments,397704.959999999,1
AE,ATM,20,M,Self Employed Professional,673620,999999,Unmarried,5000000,Saving,292690.7,1
AE,ATM,20,M,Self Employed Professional,673638,299999,Unmarried,1500000,Salary,596387.25,1
AE,ATM,20,M,Self Employed Professional,753014,499999,Unmarried,1500000,Salary,11378.57,1
AE,ATM,20,M,Self Employed Professional,834004,499999,Unmarried,500000,Business Proceeds,632234.77,1
AE,ATM,20,M,Student,205135,49999,Unmarried,500000,Saving,149178.49,1
AE,ATM,20,M,Student,360002,999999,Married,1500000,Saving,197630.86,1
AE,ATM,20,M,Student,394101,499999,Unmarried,5000000,Professional Fee,36732.1499999999,1
AE,ATM,20,M,Student,400009,49999,Unmarried,500000,Salary,124411.819999999,1
AE,ATM,20,M,Student,412207,49999,Unmarried,500000,Other,9063.82,1
AE,ATM,20,M,Student,504001,299999,Unmarried,1500000,Investments,2277.29,1
AE,ATM,20,M,Student,560053,999999,Unmarried,3000000,Saving,97335.75,1
AE,ATM,20,M,Student,673001,49999,Unmarried,40000000,Other,696829.03,1
AE,ATM,20,M,Student,673003,999999,Unmarried,5000000,Other,295568.959999999,1
AE,ATM,20,M,Student,673527,49999,Unmarried,250000000,Other,298016.23,1
AE,ATM,20,M,Student,673572,499999,Unmarried,500000,Business Proceeds,869636.409999999,1
AE,ATM,20,M,Student,679580,999999,Unmarried,500000,Other,418098.68,1
AE,ATM,20,M,Used Car Sales,671532,299999,Unmarried,500000,Business Proceeds,794798.59,1
AE,ATM,20,M,Used Car Sales,673572,499999,Unmarried,500000,Business Proceeds,99974.17,1
AE,ATM,20,M,Used Car Sales,679503,499999,Unmarried,1500000,Business Proceeds,299938.81,1
AE,ATM,21,F,Self Employed Non-Professional,360006,499999,Married,1500000,Business Proceeds,589928.73,1
AE,ATM,21,F,Self Employed Non-Professional,380021,999999,Unmarried,3000000,Business Proceeds,865201.17,1
AE,ATM,21,F,Self Employed Professional,676122,499999,Unmarried,1500000,Other,694169.36,1
AE,ATM,21,F,Self Employed Professional,834001,299999,Married,3000000,Other,718466.73,1
AE,ATM,21,F,Self Employed Professional,835222,499999,Married,1500000,Business Proceeds,632776.659999999,1
AE,ATM,21,F,Student,679328,49999,Unmarried,500000,Other,29679.4999999999,1
AE,ATM,21,M,Agriculturist,413112,299999,Unmarried,40000000,Sale Of Property,4517.41,1
AE,ATM,21,M,Forex,676517,499999,Married,1500000,Other,99974.17,1
AE,ATM,21,M,Retired/Pensioner,673541,49999,Married,3000000,Saving,596836.61,1
AE,ATM,21,M,Salaried,273008,499999,Unmarried,1500000,Salary,181741,1
AE,ATM,21,M,Salaried,411017,4999999,Unmarried,500000,Salary,11362.21,1
AE,ATM,21,M,Salaried,500002,999999,Unmarried,3000000,Salary,90348.12,1
